GEN	2	8	7	H120	man
GEN	2	8	8	H834	whom
GEN	2	8	9	H3335	formed
GEN	2	9	0	H4480	out
GEN	2	9	1	H127	ground
GEN	2	9	2	H6779	made
GEN	2	9	3	H430	God
GEN	2	9	4	H6779	grow
GEN	2	9	5	H6086	tree
GEN	2	9	6	H2530	pleasant
GEN	2	9	7	H4758	sight
GEN	2	9	8	H2896	good
GEN	2	9	9	H3978	food
GEN	2	9	10	H6086	tree
GEN	2	9	11	H2416	life
GEN	2	9	12	H8432	midst
GEN	2	9	13	H1588	garden
GEN	2	9	14	H6086	tree
GEN	2	9	15	H1847	knowledge
GEN	2	9	16	H2896	good
GEN	2	9	17	H7451	evil
GEN	2	10	0	H5104	river
GEN	2	10	1	H3318	out
GEN	2	10	2	H5731	Eden
GEN	2	10	3	H8248	water
GEN	2	10	4	H1588	garden
GEN	2	10	5	H6504	parted
GEN	2	10	6	H702	four
GEN	2	10	7	H7218	heads
GEN	2	11	0	H8034	name
GEN	2	11	1	H259	first
GEN	2	11	2	H6376	Pison
GEN	2	11	3	H1931	that
GEN	2	11	4	H5437	compasseth
GEN	2	11	5	H776	land
GEN	2	11	6	H2341	Havilah
GEN	2	11	7	H834	where
GEN	2	11	8	H2091	gold
GEN	2	12	0	H2091	gold
GEN	2	12	1	H1931	that
GEN	2	12	2	H776	land
GEN	2	12	3	H2896	good
GEN	2	12	4	H916	bdellium
GEN	2	12	5	H7718	onyx
GEN	2	12	6	H68	stone
GEN	2	13	0	H8034	name
GEN	2	13	1	H8145	second
GEN	2	13	2	H5104	river
GEN	2	13	3	H1521	Gihon
GEN	2	13	4	H5437	compasseth
GEN	2	13	5	H776	land
GEN	2	13	6	H3568	Ethiopia
GEN	2	14	0	H8034	name
GEN	2	14	1	H7992	third
GEN	2	14	2	H5104	river
GEN	2	14	3	H2313	Hiddekel
GEN	2	14	4	H1980	toward
GEN	2	14	5	H6926	east
GEN	2	14	6	H804	Assyria
GEN	2	14	7	H7243	fourth
GEN	2	14	8	H5104	river
GEN	2	14	9	H6578	Euphrates
GEN	2	15	0	H430	God
GEN	2	15	1	H3947	took
GEN	2	15	2	H120	man
GEN	2	15	3	H3240	him
GEN	2	15	4	H1588	garden
GEN	2	15	5	H5731	Eden
GEN	2	15	6	H5647	dress
GEN	2	15	7	H8104	keep
GEN	2	16	0	H430	God
GEN	2	16	1	H6680	commanded
GEN	2	16	2	H120	man
GEN	2	16	3	H559	saying
GEN	2	16	4	H6086	tree
GEN	2	16	5	H1588	garden
GEN	2	16	6	H398	freely eat
GEN	2	17	0	H6086	tree
GEN	2	17	1	H1847	knowledge
GEN	2	17	2	H2896	good
GEN	2	17	3	H7451	evil
GEN	2	17	4	H398	eat
GEN	2	17	5	H3117	day
GEN	2	17	6	H398	eatest
GEN	2	17	7	H4191	surely die
GEN	2	18	0	H430	God
GEN	2	18	1	H559	said
GEN	2	18	2	H2896	good
GEN	2	18	3	H120	man
GEN	2	18	4	H1961	be
GEN	2	18	5	H6213	make
GEN	2	18	6	H5828	meet
GEN	2	19	0	H127	ground
GEN	2	19	1	H430	God
GEN	2	19	2	H3335	formed
GEN	2	19	3	H2416	beast
GEN	2	19	4	H7704	field
GEN	2	19	5	H5775	fowl
GEN	2	19	6	H8064	air
GEN	2	19	7	H935	brought
GEN	2	19	8	H120	Adam
GEN	2	19	9	H7200	see
GEN	2	19	10	H7121	call
GEN	2	19	11	H120	Adam
GEN	2	19	12	H7121	called
GEN	2	19	13	H2416	living
GEN	2	19	14	H5315	creature
GEN	2	19	15	H1931	that
GEN	2	19	16	H8034	thereof
GEN	2	20	0	H120	Adam
GEN	2	20	1	H7121	gave
GEN	2	20	2	H8034	names
GEN	2	20	3	H929	cattle
GEN	2	20	4	H5775	fowl
GEN	2	20	5	H8064	air
GEN	2	20	6	H2416	beast
GEN	2	20	7	H7704	field
GEN	2	20	8	H120	Adam
GEN	2	20	9	H4672	found
GEN	2	20	10	H5828	meet
GEN	2	21	0	H430	God
GEN	2	21	1	H5307	caused
GEN	2	21	2	H8639	sleep
GEN	2	21	3	H5307	fall
GEN	2	21	4	H121	Adam
GEN	2	21	5	H3462	slept
GEN	2	21	6	H3947	took
GEN	2	21	7	H259	one
GEN	2	21	8	H6763	ribs
GEN	2	21	9	H5462	up
GEN	2	21	10	H1320	flesh
GEN	2	22	0	H6763	rib
GEN	2	22	1	H430	God
GEN	2	22	2	H3947	taken
GEN	2	22	3	H120	man
GEN	2	22	4	H1129	made
GEN	2	22	5	H802	woman
GEN	2	22	6	H935	brought
GEN	2	22	7	H120	man
GEN	2	23	0	H120	Adam
GEN	2	23	1	H559	said
GEN	2	23	2	H2063	This
GEN	2	23	3	H6471	now
GEN	2	23	4	H6106	bone bones
GEN	2	23	5	H1320	flesh flesh
GEN	2	23	6	H2063	she
GEN	2	23	7	H7121	called
GEN	2	23	8	H802	Woman
GEN	2	23	9	H2063	she
GEN	2	23	10	H3947	taken
GEN	2	23	11	H376	Man
GEN	2	24	0	H3651	Therefore
GEN	2	24	1	H376	man
GEN	2	24	2	H5800	leave
GEN	2	24	3	H1	father
GEN	2	24	4	H517	mother
GEN	2	24	5	H1692	cleave
GEN	2	24	6	H802	wife
GEN	2	24	7	H259	one
GEN	2	24	8	H1320	flesh
GEN	2	25	0	H8147	both
GEN	2	25	1	H6174	naked
GEN	2	25	2	H120	man
GEN	2	25	3	H802	wife
GEN	2	25	4	H954	ashamed
GEN	3	1	0	H5175	serpent
GEN	3	1	1	H1961	was
GEN	3	1	2	H6175	subtil
GEN	3	1	3	H2416	beast
GEN	3	1	4	H7704	field
GEN	3	1	5	H430	God
GEN	3	1	6	H6213	made
GEN	3	1	7	H559	said
GEN	3	1	8	H802	woman
GEN	3	1	9	H637	Yea
GEN	3	1	10	H430	God
GEN	3	1	11	H559	said
GEN	3	1	12	H398	eat
GEN	3	1	13	H6086	tree
GEN	3	1	14	H1588	garden
GEN	3	2	0	H802	woman
GEN	3	2	1	H559	said
GEN	3	2	2	H5175	serpent
GEN	3	2	3	H398	eat
GEN	3	2	4	H6529	fruit
GEN	3	2	5	H6086	trees
